ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
SPY,CALL,MOMENTUM,2025-09-09T14:11:00-04:00,2025-09-09T14:41:00-04:00,1.9491,1.9946,6,0.350,649.70,649.83,0.0233,27.30,TIME_STOP,58,30.0
SPY,PUT,MOMENTUM,2025-09-10T14:20:00-04:00,2025-09-10T14:50:00-04:00,1.9546,1.9756,6,0.350,651.55,651.49,0.0107,12.60,TIME_STOP,50,30.0
SPY,CALL,MOMENTUM,2025-09-11T11:17:00-04:00,2025-09-11T11:47:00-04:00,1.9718,1.8108,6,0.350,657.28,656.82,-0.0816,-96.60,TIME_STOP,61,30.0
SPY,CALL,MOMENTUM,2025-09-11T11:49:00-04:00,2025-09-11T12:19:00-04:00,1.9703,2.2398,6,0.350,656.78,657.55,0.1368,161.70,TIME_STOP,54,30.0
SPY,CALL,MOMENTUM,2025-09-11T13:11:00-04:00,2025-09-11T13:41:00-04:00,1.9722,2.0002,6,0.350,657.39,657.47,0.0142,16.80,TIME_STOP,50,30.0
SPY,CALL,MOMENTUM,2025-09-12T12:17:00-04:00,2025-09-12T12:47:00-04:00,1.9738,1.9738,6,0.350,657.93,657.93,0.0000,0.00,TIME_STOP,45,30.0
SPY,CALL,MOMENTUM,2025-09-12T14:50:00-04:00,2025-09-12T15:20:00-04:00,1.9762,1.8922,6,0.350,658.74,658.50,-0.0425,-50.40,TIME_STOP,68,30.0
SPY,PUT,MOMENTUM,2025-09-15T14:46:00-04:00,2025-09-15T15:16:00-04:00,1.9783,1.8488,6,0.350,659.44,659.81,-0.0655,-77.70,TIME_STOP,64,30.0
SPY,PUT,MOMENTUM,2025-09-16T11:38:00-04:00,2025-09-16T12:08:00-04:00,1.9787,1.9122,6,0.350,659.56,659.75,-0.0336,-39.90,TIME_STOP,54,30.0
SPY,PUT,MOMENTUM,2025-09-17T11:47:00-04:00,2025-09-17T12:17:00-04:00,1.9770,2.0190,6,0.350,659.00,658.88,0.0212,25.20,TIME_STOP,47,30.0
SPY,PUT,MOMENTUM,2025-09-17T12:38:00-04:00,2025-09-17T13:08:00-04:00,1.9755,1.8915,6,0.350,658.50,658.74,-0.0425,-50.40,TIME_STOP,48,30.0
SPY,PUT,MOMENTUM,2025-09-17T13:11:00-04:00,2025-09-17T13:41:00-04:00,1.9754,1.7689,6,0.350,658.47,659.06,-0.1045,-123.90,TIME_STOP,63,30.0
SPY,PUT,MOMENTUM,2025-09-17T13:43:00-04:00,2025-09-17T14:00:00-04:00,1.9769,1.5184,6,0.350,658.98,660.29,-0.2319,-275.10,STOP_LOSS,61,17.0
SPY,CALL,MOMENTUM,2025-09-17T14:05:00-04:00,2025-09-17T14:09:00-04:00,1.9847,1.5122,6,0.350,661.56,660.21,-0.2381,-283.50,STOP_LOSS,57,4.0
SPY,PUT,MOMENTUM,2025-09-17T14:14:00-04:00,2025-09-17T14:22:00-04:00,1.9735,1.4170,6,0.350,657.83,659.42,-0.2820,-333.90,STOP_LOSS,76,8.0
SPY,CALL,MOMENTUM,2025-09-22T10:29:00-04:00,2025-09-22T10:59:00-04:00,1.9922,2.3212,6,0.350,664.08,665.02,0.1651,197.40,TIME_STOP,64,30.0
SPY,CALL,MOMENTUM,2025-09-22T11:02:00-04:00,2025-09-22T11:32:00-04:00,1.9951,1.9637,6,0.350,665.05,664.96,-0.0158,-18.90,TIME_STOP,70,30.0
SPY,CALL,MOMENTUM,2025-09-22T11:35:00-04:00,2025-09-22T12:05:00-04:00,1.9942,2.0047,6,0.350,664.72,664.75,0.0053,6.30,TIME_STOP,70,30.0
SPY,CALL,MOMENTUM,2025-09-22T12:06:00-04:00,2025-09-22T12:36:00-04:00,1.9949,2.3449,6,0.350,664.97,665.97,0.1754,210.00,TIME_STOP,68,30.0
SPY,CALL,MOMENTUM,2025-09-22T12:37:00-04:00,2025-09-22T13:07:00-04:00,1.9982,2.0822,6,0.350,666.06,666.30,0.0420,50.40,TIME_STOP,73,30.0
SPY,CALL,MOMENTUM,2025-09-22T13:32:00-04:00,2025-09-22T14:02:00-04:00,1.9999,1.9019,6,0.350,666.63,666.35,-0.0490,-58.80,TIME_STOP,72,30.0
SPY,PUT,MOMENTUM,2025-09-23T12:08:00-04:00,2025-09-23T12:38:00-04:00,1.9956,1.8836,6,0.350,665.20,665.52,-0.0561,-67.20,TIME_STOP,52,30.0
