ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
SPY,PUT,DAY2,2025-10-13T14:00:00+00:00,2025-10-13T14:30:00+00:00,2.2735,3.3135,5,0.400,663.10,660.50,0.4574,520.00,TIME_STOP,64,30.0
SPY,PUT,DAY2,2025-10-13T14:35:00+00:00,2025-10-13T15:05:00+00:00,2.2694,2.9934,5,0.400,661.91,660.10,0.3190,362.00,TIME_STOP,64,30.0
TSLA,CALL,DAY2,2025-10-20T14:00:00+00:00,2025-10-20T14:18:00+00:00,3.0707,2.3547,4,0.400,447.81,446.02,-0.2332,-286.40,STOP_LOSS,61,18.0
TSLA,CALL,DAY2,2025-10-20T14:28:00+00:00,2025-10-20T14:30:00+00:00,3.0542,2.2942,4,0.400,445.40,443.50,-0.2488,-304.00,STOP_LOSS,46,2.0
TSLA,CALL,DAY2,2025-10-20T14:40:00+00:00,2025-10-20T15:00:00+00:00,3.0438,2.3158,4,0.400,443.89,442.07,-0.2392,-291.20,STOP_LOSS,46,20.0
TSLA,CALL,DAY2,2025-10-24T14:06:00+00:00,2025-10-24T14:22:00+00:00,3.0269,3.0589,4,0.400,441.42,441.50,0.0106,12.80,TRAILING_STOP,59,16.0
TSLA,CALL,DAY2,2025-10-24T14:27:00+00:00,2025-10-24T14:30:00+00:00,3.0240,2.0600,4,0.400,441.00,438.59,-0.3188,-385.60,STOP_LOSS,59,3.0
TSLA,CALL,DAY2,2025-10-24T14:43:00+00:00,2025-10-24T14:53:00+00:00,3.0200,2.1120,4,0.400,440.42,438.15,-0.3007,-363.20,STOP_LOSS,59,10.0
NVDA,CALL,DAY2,2025-10-29T14:00:00+00:00,2025-10-29T14:03:00+00:00,1.4536,1.1056,4,0.400,211.98,211.11,-0.2394,-139.20,STOP_LOSS,72,3.0
NVDA,CALL,DAY2,2025-10-29T14:13:00+00:00,2025-10-29T14:40:00+00:00,1.4395,1.7235,4,0.400,209.93,210.64,0.1973,113.60,TRAILING_STOP,57,27.0
