ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,CALL,MEAN_REVERSION,2025-09-15T13:00:00-04:00,2025-09-15T13:15:00-04:00,2.5459,2.5414,10,0.450,660.05,660.04,-0.0018,-4.50,TIME_STOP,64,15.0,20.7,-0.242,15.9,-1.11
SPY,CALL,MEAN_REVERSION,2025-09-15T13:17:00-04:00,2025-09-15T13:32:00-04:00,2.5454,2.5589,10,0.450,659.92,659.95,0.0053,13.50,TIME_STOP,50,15.0,22.1,-0.033,23.5,-1.48
SPY,CALL,MEAN_REVERSION,2025-09-15T14:41:00-04:00,2025-09-15T14:56:00-04:00,2.5448,2.6348,10,0.450,659.77,659.97,0.0354,90.00,TIME_STOP,37,15.0,29.0,0.004,22.5,-1.70
SPY,CALL,MEAN_REVERSION,2025-09-17T11:29:00-04:00,2025-09-17T11:44:00-04:00,2.5416,2.6766,10,0.450,658.94,659.24,0.0531,135.00,TIME_STOP,49,15.0,31.1,-0.087,26.3,-1.73
SPY,CALL,MEAN_REVERSION,2025-09-17T12:35:00-04:00,2025-09-17T12:50:00-04:00,2.5406,2.4731,10,0.450,658.68,658.53,-0.0266,-67.50,TIME_STOP,50,15.0,27.5,-0.044,18.0,-1.85
SPY,CALL,MEAN_REVERSION,2025-09-17T14:44:00-04:00,2025-09-17T14:45:00-04:00,2.5331,2.0471,10,0.450,656.74,655.66,-0.1919,-486.00,STOP_LOSS,42,1.0,30.4,-0.027,22.9,-2.32
SPY,CALL,MEAN_REVERSION,2025-09-17T14:47:00-04:00,2025-09-17T14:50:00-04:00,2.5323,2.4288,10,0.450,656.52,656.29,-0.0409,-103.50,BREAKEVEN_STOP,36,3.0,29.0,0.001,24.2,-2.13
SPY,CALL,MEAN_REVERSION,2025-09-17T14:55:00-04:00,2025-09-17T14:58:00-04:00,2.5292,3.2942,10,0.450,655.73,657.43,0.3025,765.00,TAKE_PROFIT,66,3.0,18.6,-0.141,25.8,-2.04
SPY,CALL,MEAN_REVERSION,2025-09-19T10:41:00-04:00,2025-09-19T10:56:00-04:00,2.5515,2.6055,10,0.450,661.49,661.61,0.0212,54.00,TIME_STOP,62,15.0,30.9,-0.091,12.9,-1.55
SPY,CALL,MEAN_REVERSION,2025-09-19T11:11:00-04:00,2025-09-19T11:26:00-04:00,2.5495,2.4595,10,0.450,660.97,660.77,-0.0353,-90.00,TIME_STOP,60,15.0,28.0,0.016,11.0,-2.38
SPY,CALL,MEAN_REVERSION,2025-09-19T11:32:00-04:00,2025-09-19T11:47:00-04:00,2.5475,2.8444,10,0.450,660.45,661.11,0.1166,297.00,TIME_STOP,80,15.0,18.8,-0.041,10.2,-2.81
SPY,CALL,MEAN_REVERSION,2025-09-23T10:32:00-04:00,2025-09-23T10:47:00-04:00,2.5709,2.4449,10,0.450,666.52,666.24,-0.0490,-126.00,TIME_STOP,51,15.0,34.9,-0.010,11.1,-2.03
SPY,CALL,MEAN_REVERSION,2025-09-23T11:35:00-04:00,2025-09-23T11:50:00-04:00,2.5689,2.4699,10,0.450,666.00,665.78,-0.0385,-99.00,TIME_STOP,51,15.0,31.9,0.010,15.1,-2.21
SPY,CALL,MEAN_REVERSION,2025-09-23T11:53:00-04:00,2025-09-23T12:08:00-04:00,2.5677,2.3427,10,0.450,665.70,665.20,-0.0876,-225.00,TIME_STOP,42,15.0,30.2,0.038,24.1,-2.35
SPY,CALL,MEAN_REVERSION,2025-09-23T13:02:00-04:00,2025-09-23T13:17:00-04:00,2.5647,2.5017,10,0.450,664.92,664.78,-0.0246,-63.00,TIME_STOP,57,15.0,29.5,-0.059,27.3,-2.00
SPY,CALL,MEAN_REVERSION,2025-09-24T14:11:00-04:00,2025-09-24T14:26:00-04:00,2.5461,2.6181,10,0.450,660.09,660.25,0.0283,72.00,TIME_STOP,40,15.0,22.6,-0.006,20.0,-1.38
SPY,CALL,MEAN_REVERSION,2025-09-26T10:32:00-04:00,2025-09-26T10:42:00-04:00,2.5395,3.2190,10,0.450,658.38,659.89,0.2676,679.50,TAKE_PROFIT,45,10.0,28.1,0.032,21.6,-1.79
SPY,CALL,MEAN_REVERSION,2025-09-29T11:11:00-04:00,2025-09-29T11:26:00-04:00,2.5610,2.4350,10,0.450,663.97,663.69,-0.0492,-126.00,TIME_STOP,75,15.0,24.7,-0.149,10.2,-1.91
SPY,CALL,MEAN_REVERSION,2025-09-29T11:32:00-04:00,2025-09-29T11:47:00-04:00,2.5585,2.5900,10,0.450,663.31,663.38,0.0123,31.50,TIME_STOP,38,15.0,29.3,0.044,20.6,-2.39
