ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,PUT,MEAN_REVERSION,2025-09-15T10:29:00-04:00,2025-09-15T10:41:00-04:00,2.5483,2.5438,10,0.450,660.68,660.69,-0.0018,-4.50,TIME_STOP,61,12.0,71.5,1.015,16.5,1.99
SPY,PUT,MEAN_REVERSION,2025-09-15T10:44:00-04:00,2025-09-15T10:56:00-04:00,2.5488,2.4903,10,0.450,660.81,660.94,-0.0230,-58.50,TIME_STOP,49,12.0,68.5,1.009,18.4,1.90
SPY,CALL,MEAN_REVERSION,2025-09-15T13:14:00-04:00,2025-09-15T13:26:00-04:00,2.5458,2.4333,10,0.450,660.01,659.76,-0.0442,-112.50,TIME_STOP,43,12.0,25.3,-0.021,22.0,-1.22
SPY,CALL,MEAN_REVERSION,2025-09-15T14:41:00-04:00,2025-09-15T14:53:00-04:00,2.5448,2.6798,10,0.450,659.77,660.07,0.0530,135.00,TIME_STOP,37,12.0,29.0,0.004,22.5,-1.70
SPY,CALL,MEAN_REVERSION,2025-09-17T11:29:00-04:00,2025-09-17T11:41:00-04:00,2.5416,2.5596,10,0.450,658.94,658.98,0.0071,18.00,TIME_STOP,49,12.0,31.1,-0.087,26.3,-1.73
SPY,CALL,MEAN_REVERSION,2025-09-17T12:35:00-04:00,2025-09-17T12:47:00-04:00,2.5406,2.3066,10,0.450,658.68,658.16,-0.0921,-234.00,TIME_STOP,50,12.0,27.5,-0.044,18.0,-1.85
SPY,CALL,MEAN_REVERSION,2025-09-17T12:49:00-04:00,2025-09-17T13:01:00-04:00,2.5390,2.6020,10,0.450,658.27,658.41,0.0248,63.00,TIME_STOP,61,12.0,25.1,-0.167,25.9,-2.24
SPY,PUT,MEAN_REVERSION,2025-09-17T14:00:00-04:00,2025-09-17T14:03:00-04:00,2.5468,2.0788,10,0.450,660.29,661.33,-0.1838,-468.00,STOP_LOSS,60,3.0,83.5,1.354,19.9,1.51
SPY,PUT,MEAN_REVERSION,2025-09-17T14:05:00-04:00,2025-09-17T14:09:00-04:00,2.5517,3.1592,10,0.450,661.56,660.21,0.2381,607.50,TAKE_PROFIT,75,4.0,94.4,1.371,27.0,2.61
SPY,CALL,MEAN_REVERSION,2025-09-17T14:44:00-04:00,2025-09-17T14:45:00-04:00,2.5331,2.0471,10,0.450,656.74,655.66,-0.1919,-486.00,STOP_LOSS,42,1.0,30.4,-0.027,22.9,-2.32
SPY,CALL,MEAN_REVERSION,2025-09-17T14:47:00-04:00,2025-09-17T14:50:00-04:00,2.5323,2.4288,10,0.450,656.52,656.29,-0.0409,-103.50,BREAKEVEN_STOP,36,3.0,29.0,0.001,24.2,-2.13
SPY,CALL,MEAN_REVERSION,2025-09-17T14:52:00-04:00,2025-09-17T14:56:00-04:00,2.5272,3.0582,10,0.450,655.19,656.37,0.2101,531.00,TAKE_PROFIT,42,4.0,27.4,0.024,24.5,-2.83
SPY,CALL,MEAN_REVERSION,2025-09-19T10:41:00-04:00,2025-09-19T10:53:00-04:00,2.5515,2.6460,10,0.450,661.49,661.70,0.0370,94.50,TIME_STOP,62,12.0,30.9,-0.091,12.9,-1.55
SPY,CALL,MEAN_REVERSION,2025-09-19T11:11:00-04:00,2025-09-19T11:23:00-04:00,2.5495,2.5675,10,0.450,660.97,661.01,0.0071,18.00,TIME_STOP,60,12.0,28.0,0.016,11.0,-2.38
SPY,CALL,MEAN_REVERSION,2025-09-19T11:32:00-04:00,2025-09-19T11:44:00-04:00,2.5475,2.8354,10,0.450,660.45,661.09,0.1131,288.00,TIME_STOP,80,12.0,18.8,-0.041,10.2,-2.81
SPY,PUT,MEAN_REVERSION,2025-09-19T12:11:00-04:00,2025-09-19T12:23:00-04:00,2.5544,2.3969,10,0.450,662.26,662.61,-0.0617,-157.50,TIME_STOP,58,12.0,88.3,1.059,21.1,1.25
SPY,PUT,MEAN_REVERSION,2025-09-19T13:38:00-04:00,2025-09-19T13:50:00-04:00,2.5564,2.5024,10,0.450,662.76,662.88,-0.0211,-54.00,TIME_STOP,53,12.0,73.0,1.154,26.2,1.75
SPY,PUT,MEAN_REVERSION,2025-09-19T13:52:00-04:00,2025-09-19T14:04:00-04:00,2.5563,2.5653,10,0.450,662.74,662.72,0.0035,9.00,TIME_STOP,52,12.0,70.7,1.125,26.8,1.60
SPY,PUT,MEAN_REVERSION,2025-09-19T14:59:00-04:00,2025-09-19T15:11:00-04:00,2.5576,2.4046,10,0.450,663.09,663.43,-0.0598,-153.00,TIME_STOP,63,12.0,74.3,1.343,16.0,1.86
SPY,PUT,MEAN_REVERSION,2025-09-19T15:13:00-04:00,2025-09-19T15:25:00-04:00,2.5584,2.4234,10,0.450,663.28,663.58,-0.0528,-135.00,TIME_STOP,68,12.0,82.0,1.111,25.4,1.88
SPY,PUT,MEAN_REVERSION,2025-09-22T15:11:00-04:00,2025-09-22T15:23:00-04:00,2.5732,2.6092,10,0.450,667.12,667.04,0.0140,36.00,TIME_STOP,56,12.0,80.8,1.244,25.1,1.54
SPY,PUT,MEAN_REVERSION,2025-09-22T15:26:00-04:00,2025-09-22T15:38:00-04:00,2.5735,2.7310,10,0.450,667.21,666.86,0.0612,157.50,TIME_STOP,44,12.0,76.9,1.034,27.7,1.53
SPY,CALL,MEAN_REVERSION,2025-09-23T10:32:00-04:00,2025-09-23T10:44:00-04:00,2.5709,2.4944,10,0.450,666.52,666.35,-0.0298,-76.50,TIME_STOP,51,12.0,34.9,-0.010,11.1,-2.03
SPY,CALL,MEAN_REVERSION,2025-09-23T11:35:00-04:00,2025-09-23T11:47:00-04:00,2.5689,2.5239,10,0.450,666.00,665.90,-0.0175,-45.00,TIME_STOP,51,12.0,31.9,0.010,15.1,-2.21
