ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
QQQ,PUT,MOMENTUM,2025-09-09T10:35:00-04:00,2025-09-09T10:55:00-04:00,1.7327,1.3442,7,0.350,577.56,578.67,-0.2242,-271.95,STOP_LOSS,54,20.0
QQQ,PUT,MOMENTUM,2025-09-09T11:02:00-04:00,2025-09-09T11:22:00-04:00,1.7343,1.6153,7,0.350,578.10,578.44,-0.0686,-83.30,TIME_STOP,55,20.0
SPY,CALL,MOMENTUM,2025-09-09T14:11:00-04:00,2025-09-09T14:31:00-04:00,1.9491,1.9701,6,0.350,649.70,649.76,0.0108,12.60,TIME_STOP,58,20.0
QQQ,PUT,MOMENTUM,2025-09-10T12:49:00-04:00,2025-09-10T13:09:00-04:00,1.7440,1.4920,7,0.350,581.33,582.05,-0.1445,-176.40,TIME_STOP,45,20.0
QQQ,PUT,MOMENTUM,2025-09-10T13:26:00-04:00,2025-09-10T13:46:00-04:00,1.7426,1.5886,7,0.350,580.88,581.32,-0.0884,-107.80,TIME_STOP,50,20.0
QQQ,PUT,MOMENTUM,2025-09-10T14:17:00-04:00,2025-09-10T14:37:00-04:00,1.7425,1.8300,7,0.350,580.84,580.59,0.0502,61.25,TIME_STOP,46,20.0
QQQ,PUT,MOMENTUM,2025-09-10T14:44:00-04:00,2025-09-10T15:04:00-04:00,1.7411,1.9021,7,0.350,580.37,579.91,0.0925,112.70,TIME_STOP,45,20.0
SPY,CALL,MOMENTUM,2025-09-11T11:17:00-04:00,2025-09-11T11:37:00-04:00,1.9718,2.0138,6,0.350,657.28,657.40,0.0213,25.20,TIME_STOP,61,20.0
SPY,CALL,MOMENTUM,2025-09-11T11:38:00-04:00,2025-09-11T11:58:00-04:00,1.9716,1.9821,6,0.350,657.19,657.22,0.0053,6.30,TIME_STOP,56,20.0
SPY,CALL,MOMENTUM,2025-09-11T12:05:00-04:00,2025-09-11T12:25:00-04:00,1.9725,2.0040,6,0.350,657.50,657.59,0.0160,18.90,TIME_STOP,56,20.0
SPY,CALL,MOMENTUM,2025-09-11T13:11:00-04:00,2025-09-11T13:31:00-04:00,1.9722,1.9407,6,0.350,657.39,657.30,-0.0160,-18.90,TIME_STOP,50,20.0
QQQ,CALL,MOMENTUM,2025-09-12T10:56:00-04:00,2025-09-12T11:16:00-04:00,1.7596,1.7526,7,0.350,586.54,586.52,-0.0040,-4.90,TIME_STOP,63,20.0
SPY,CALL,MOMENTUM,2025-09-12T12:17:00-04:00,2025-09-12T12:37:00-04:00,1.9738,1.9563,6,0.350,657.93,657.88,-0.0089,-10.50,TIME_STOP,45,20.0
QQQ,CALL,MOMENTUM,2025-09-12T14:32:00-04:00,2025-09-12T14:52:00-04:00,1.7612,1.9467,7,0.350,587.06,587.59,0.1053,129.85,TIME_STOP,62,20.0
SPY,CALL,MOMENTUM,2025-09-12T14:53:00-04:00,2025-09-12T15:13:00-04:00,1.9768,1.8578,6,0.350,658.94,658.60,-0.0602,-71.40,TIME_STOP,66,20.0
QQQ,CALL,MOMENTUM,2025-09-15T11:02:00-04:00,2025-09-15T11:22:00-04:00,1.7715,1.6245,7,0.350,590.50,590.08,-0.0830,-102.90,TIME_STOP,56,20.0
QQQ,CALL,MOMENTUM,2025-09-15T11:25:00-04:00,2025-09-15T11:45:00-04:00,1.7707,1.8757,7,0.350,590.22,590.52,0.0593,73.50,TIME_STOP,45,20.0
QQQ,CALL,MOMENTUM,2025-09-15T11:59:00-04:00,2025-09-15T12:19:00-04:00,1.7727,1.7902,7,0.350,590.91,590.96,0.0099,12.25,TIME_STOP,55,20.0
QQQ,CALL,MOMENTUM,2025-09-15T13:32:00-04:00,2025-09-15T13:52:00-04:00,1.7713,1.9183,7,0.350,590.42,590.84,0.0830,102.90,TIME_STOP,53,20.0
QQQ,CALL,MOMENTUM,2025-09-15T13:59:00-04:00,2025-09-15T14:19:00-04:00,1.7733,1.6718,7,0.350,591.10,590.81,-0.0572,-71.05,TIME_STOP,46,20.0
QQQ,CALL,MOMENTUM,2025-09-15T14:41:00-04:00,2025-09-15T15:01:00-04:00,1.7712,1.9042,7,0.350,590.41,590.79,0.0751,93.10,TIME_STOP,50,20.0
QQQ,PUT,MOMENTUM,2025-09-16T11:02:00-04:00,2025-09-16T11:22:00-04:00,1.7726,1.5766,7,0.350,590.85,591.41,-0.1106,-137.20,TIME_STOP,53,20.0
SPY,PUT,MOMENTUM,2025-09-16T11:38:00-04:00,2025-09-16T11:58:00-04:00,1.9787,1.9647,6,0.350,659.56,659.60,-0.0071,-8.40,TIME_STOP,54,20.0
QQQ,PUT,MOMENTUM,2025-09-17T11:44:00-04:00,2025-09-17T12:04:00-04:00,1.7656,1.8881,7,0.350,588.54,588.19,0.0694,85.75,TIME_STOP,58,20.0
QQQ,PUT,MOMENTUM,2025-09-17T12:20:00-04:00,2025-09-17T12:40:00-04:00,1.7648,1.9853,7,0.350,588.27,587.64,0.1249,154.35,TIME_STOP,55,20.0
SPY,PUT,MOMENTUM,2025-09-17T12:41:00-04:00,2025-09-17T13:01:00-04:00,1.9750,1.9435,6,0.350,658.32,658.41,-0.0159,-18.90,TIME_STOP,67,20.0
SPY,PUT,MOMENTUM,2025-09-17T13:03:00-04:00,2025-09-17T13:23:00-04:00,1.9756,1.9476,6,0.350,658.55,658.63,-0.0142,-16.80,TIME_STOP,64,20.0
SPY,PUT,MOMENTUM,2025-09-17T13:32:00-04:00,2025-09-17T13:52:00-04:00,1.9765,1.9555,6,0.350,658.84,658.90,-0.0106,-12.60,TIME_STOP,55,20.0
QQQ,PUT,MOMENTUM,2025-09-17T13:57:00-04:00,2025-09-17T14:02:00-04:00,1.7666,1.2241,7,0.350,588.86,590.41,-0.3071,-379.75,STOP_LOSS,49,5.0
QQQ,CALL,MOMENTUM,2025-09-18T13:53:00-04:00,2025-09-18T14:13:00-04:00,1.7894,1.7474,6,0.350,596.48,596.36,-0.0235,-25.20,TIME_STOP,53,20.0
QQQ,CALL,MOMENTUM,2025-09-19T12:23:00-04:00,2025-09-19T12:43:00-04:00,1.7953,1.8338,6,0.350,598.42,598.53,0.0214,23.10,TIME_STOP,48,20.0
QQQ,CALL,MOMENTUM,2025-09-19T13:23:00-04:00,2025-09-19T13:43:00-04:00,1.7945,1.9030,6,0.350,598.18,598.49,0.0605,65.10,TIME_STOP,46,20.0
SPY,CALL,MOMENTUM,2025-09-22T10:29:00-04:00,2025-09-22T10:49:00-04:00,1.9922,2.1847,6,0.350,664.08,664.63,0.0966,115.50,TIME_STOP,64,20.0
SPY,CALL,MOMENTUM,2025-09-22T10:50:00-04:00,2025-09-22T11:10:00-04:00,1.9943,2.0993,6,0.350,664.78,665.08,0.0526,63.00,TIME_STOP,68,20.0
QQQ,CALL,MOMENTUM,2025-09-22T11:23:00-04:00,2025-09-22T11:43:00-04:00,1.8007,1.7377,6,0.350,600.23,600.05,-0.0350,-37.80,TIME_STOP,67,20.0
SPY,CALL,MOMENTUM,2025-09-22T12:02:00-04:00,2025-09-22T12:22:00-04:00,1.9939,2.3439,6,0.350,664.64,665.64,0.1755,210.00,TIME_STOP,71,20.0
SPY,CALL,MOMENTUM,2025-09-22T12:23:00-04:00,2025-09-22T12:43:00-04:00,1.9963,2.2623,6,0.350,665.42,666.18,0.1332,159.60,TIME_STOP,76,20.0
SPY,CALL,MOMENTUM,2025-09-22T12:44:00-04:00,2025-09-22T13:04:00-04:00,1.9984,2.1209,6,0.350,666.12,666.47,0.0613,73.50,TIME_STOP,74,20.0
SPY,PUT,MOMENTUM,2025-09-23T12:08:00-04:00,2025-09-23T12:28:00-04:00,1.9956,1.9886,6,0.350,665.20,665.22,-0.0035,-4.20,TIME_STOP,52,20.0
SPY,PUT,MOMENTUM,2025-09-23T12:35:00-04:00,2025-09-23T12:55:00-04:00,1.9956,2.0026,6,0.350,665.19,665.17,0.0035,4.20,TIME_STOP,66,20.0
SPY,PUT,MOMENTUM,2025-09-23T13:20:00-04:00,2025-09-23T13:40:00-04:00,1.9933,2.6863,6,0.350,664.44,662.46,0.3477,415.80,TIME_STOP,50,20.0
SPY,PUT,MOMENTUM,2025-09-23T13:41:00-04:00,2025-09-23T13:49:00-04:00,1.9864,1.5489,6,0.350,662.13,663.38,-0.2202,-262.50,STOP_LOSS,75,8.0
SPY,PUT,MOMENTUM,2025-09-23T13:51:00-04:00,2025-09-23T14:11:00-04:00,1.9898,2.1963,6,0.350,663.25,662.66,0.1038,123.90,TIME_STOP,59,20.0
SPY,PUT,MOMENTUM,2025-09-23T14:56:00-04:00,2025-09-23T15:16:00-04:00,1.9870,1.9240,6,0.350,662.34,662.52,-0.0317,-37.80,TIME_STOP,63,20.0
QQQ,PUT,MOMENTUM,2025-09-24T11:11:00-04:00,2025-09-24T11:31:00-04:00,1.7912,1.7597,6,0.350,597.07,597.16,-0.0176,-18.90,TIME_STOP,69,20.0
SPY,PUT,MOMENTUM,2025-09-24T11:35:00-04:00,2025-09-24T11:55:00-04:00,1.9868,2.4453,6,0.350,662.26,660.95,0.2308,275.10,TIME_STOP,67,20.0
SPY,PUT,MOMENTUM,2025-09-24T11:56:00-04:00,2025-09-24T12:16:00-04:00,1.9823,2.3218,6,0.350,660.78,659.81,0.1713,203.70,TIME_STOP,81,20.0
QQQ,PUT,MOMENTUM,2025-09-24T12:17:00-04:00,2025-09-24T12:24:00-04:00,1.7818,1.4248,7,0.350,593.93,594.95,-0.2004,-249.90,STOP_LOSS,74,7.0
SPY,PUT,MOMENTUM,2025-09-24T13:11:00-04:00,2025-09-24T13:31:00-04:00,1.9843,1.9493,6,0.350,661.44,661.54,-0.0176,-21.00,TIME_STOP,77,20.0
SPY,PUT,MOMENTUM,2025-09-24T13:33:00-04:00,2025-09-24T13:53:00-04:00,1.9848,2.3628,6,0.350,661.59,660.51,0.1905,226.80,TIME_STOP,58,20.0
SPY,PUT,MOMENTUM,2025-09-25T14:01:00-04:00,2025-09-25T14:15:00-04:00,1.9651,1.5206,6,0.350,655.05,656.32,-0.2262,-266.70,STOP_LOSS,68,14.0
QQQ,CALL,MOMENTUM,2025-09-25T14:41:00-04:00,2025-09-25T15:01:00-04:00,1.7808,1.7038,7,0.350,593.60,593.38,-0.0432,-53.90,TIME_STOP,52,20.0
QQQ,PUT,MOMENTUM,2025-09-26T10:26:00-04:00,2025-09-26T10:37:00-04:00,1.7740,1.4100,7,0.350,591.34,592.38,-0.2052,-254.80,STOP_LOSS,51,11.0
QQQ,CALL,MOMENTUM,2025-09-26T14:26:00-04:00,2025-09-26T14:46:00-04:00,1.7878,1.6828,6,0.350,595.93,595.63,-0.0587,-63.00,TIME_STOP,58,20.0
SPY,CALL,MOMENTUM,2025-09-26T14:48:00-04:00,2025-09-26T15:08:00-04:00,1.9858,1.8808,6,0.350,661.93,661.63,-0.0529,-63.00,TIME_STOP,51,20.0
SPY,PUT,MOMENTUM,2025-09-29T11:59:00-04:00,2025-09-29T12:19:00-04:00,1.9899,1.9304,6,0.350,663.31,663.48,-0.0299,-35.70,TIME_STOP,54,20.0
QQQ,PUT,MOMENTUM,2025-09-29T13:02:00-04:00,2025-09-29T13:22:00-04:00,1.7948,1.7003,6,0.350,598.26,598.53,-0.0527,-56.70,TIME_STOP,50,20.0
SPY,PUT,MOMENTUM,2025-09-29T13:26:00-04:00,2025-09-29T13:46:00-04:00,1.9881,1.9951,6,0.350,662.69,662.67,0.0035,4.20,TIME_STOP,53,20.0
SPY,PUT,MOMENTUM,2025-09-29T13:53:00-04:00,2025-09-29T14:13:00-04:00,1.9890,1.9085,6,0.350,663.00,663.23,-0.0405,-48.30,TIME_STOP,53,20.0
SPY,PUT,MOMENTUM,2025-09-30T13:30:00-04:00,2025-09-30T13:50:00-04:00,1.9857,1.6427,6,0.350,661.90,662.88,-0.1727,-205.80,TIME_STOP,46,20.0
SPY,CALL,MOMENTUM,2025-09-30T14:17:00-04:00,2025-09-30T14:37:00-04:00,1.9908,2.1028,6,0.350,663.61,663.93,0.0563,67.20,TIME_STOP,46,20.0
SPY,CALL,MOMENTUM,2025-09-30T14:47:00-04:00,2025-09-30T15:07:00-04:00,1.9934,2.0843,6,0.350,664.45,664.71,0.0457,54.60,TIME_STOP,47,20.0
QQQ,CALL,MOMENTUM,2025-10-01T11:02:00-04:00,2025-10-01T11:22:00-04:00,1.8029,1.4878,6,0.350,600.95,600.05,-0.1747,-189.00,TIME_STOP,67,20.0
SPY,CALL,MOMENTUM,2025-10-01T11:35:00-04:00,2025-10-01T11:55:00-04:00,1.9998,2.1643,6,0.350,666.61,667.08,0.0823,98.70,TIME_STOP,56,20.0
QQQ,CALL,MOMENTUM,2025-10-01T12:02:00-04:00,2025-10-01T12:22:00-04:00,1.8045,1.7415,6,0.350,601.49,601.31,-0.0349,-37.80,TIME_STOP,66,20.0
SPY,CALL,MOMENTUM,2025-10-01T12:41:00-04:00,2025-10-01T13:01:00-04:00,2.0002,2.0947,6,0.350,666.74,667.01,0.0472,56.70,TIME_STOP,60,20.0
SPY,CALL,MOMENTUM,2025-10-01T13:02:00-04:00,2025-10-01T13:22:00-04:00,2.0014,2.2114,6,0.350,667.13,667.73,0.1049,126.00,TIME_STOP,54,20.0
