ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
SPY,PUT,DAY2,2025-10-13T13:31:00+00:00,2025-10-13T13:43:00+00:00,2.2677,2.3477,5,0.400,661.41,661.21,0.0353,40.00,TRAILING_STOP,64,12.0
SPY,PUT,DAY2,2025-10-13T13:44:00+00:00,2025-10-13T13:57:00+00:00,2.2666,1.7146,5,0.400,661.09,662.47,-0.2435,-276.00,STOP_LOSS,64,13.0
SPY,PUT,DAY2,2025-10-13T13:59:00+00:00,2025-10-13T14:29:00+00:00,2.2727,3.0847,5,0.400,662.88,660.85,0.3573,406.00,TIME_STOP,64,30.0
SPY,PUT,DAY2,2025-10-13T14:30:00+00:00,2025-10-13T14:35:00+00:00,2.2646,1.7006,5,0.400,660.50,661.91,-0.2491,-282.00,STOP_LOSS,78,5.0
SPY,PUT,DAY2,2025-10-13T14:37:00+00:00,2025-10-13T15:07:00+00:00,2.2699,3.1019,5,0.400,662.04,659.96,0.3665,416.00,TIME_STOP,64,30.0
QQQ,PUT,DAY2,2025-11-07T14:32:00+00:00,2025-11-07T14:37:00+00:00,2.0836,3.3796,5,0.400,607.73,604.49,0.6220,648.00,TAKE_PROFIT,69,5.0
SPY,PUT,DAY2,2025-11-14T14:59:00+00:00,2025-11-14T15:16:00+00:00,2.2927,2.2247,5,0.400,668.69,668.86,-0.0297,-34.00,TRAILING_STOP,56,17.0
SPY,PUT,DAY2,2025-11-21T14:30:00+00:00,2025-11-21T14:48:00+00:00,2.2482,2.4322,5,0.400,655.73,655.27,0.0818,92.00,TRAILING_STOP,65,18.0
SPY,PUT,DAY2,2025-11-21T14:49:00+00:00,2025-11-21T14:54:00+00:00,2.2445,1.6565,5,0.400,654.66,656.13,-0.2620,-294.00,STOP_LOSS,80,5.0
SPY,PUT,DAY2,2025-11-21T14:56:00+00:00,2025-11-21T15:19:00+00:00,2.2441,2.3481,5,0.400,654.53,654.27,0.0463,52.00,TRAILING_STOP,80,23.0
SPY,PUT,DAY2,2025-12-18T14:31:00+00:00,2025-12-18T14:54:00+00:00,2.3257,2.6377,5,0.400,678.33,677.55,0.1342,156.00,TRAILING_STOP,46,23.0
SPY,PUT,DAY2,2025-12-18T14:55:00+00:00,2025-12-18T15:25:00+00:00,2.3236,2.0316,5,0.400,677.71,678.44,-0.1257,-146.00,TIME_STOP,46,30.0
SPY,PUT,DAY2,2026-01-21T14:30:00+00:00,2026-01-21T14:52:00+00:00,2.3324,1.7724,5,0.400,680.29,681.69,-0.2401,-280.00,STOP_LOSS,56,22.0
SPY,PUT,DAY2,2026-01-21T14:54:00+00:00,2026-01-21T15:16:00+00:00,2.3369,1.6729,5,0.400,681.61,683.27,-0.2841,-332.00,STOP_LOSS,56,22.0
SPY,PUT,DAY2,2026-02-13T14:30:00+00:00,2026-02-13T14:40:00+00:00,2.3373,3.5253,5,0.400,681.72,678.75,0.5083,594.00,TAKE_PROFIT,46,10.0
SPY,PUT,DAY2,2026-02-13T14:41:00+00:00,2026-02-13T14:43:00+00:00,2.3253,1.7133,5,0.400,678.21,679.74,-0.2632,-306.00,STOP_LOSS,71,2.0
SPY,PUT,DAY2,2026-02-13T14:45:00+00:00,2026-02-13T14:55:00+00:00,2.3385,2.4425,5,0.400,682.06,681.80,0.0445,52.00,TRAILING_STOP,46,10.0
SPY,PUT,DAY2,2026-02-13T14:56:00+00:00,2026-02-13T15:02:00+00:00,2.3309,1.7509,5,0.400,679.86,681.31,-0.2488,-290.00,STOP_LOSS,71,6.0
QQQ,CALL,DAY2,2026-03-10T13:30:00+00:00,2026-03-10T13:35:00+00:00,2.0885,1.6085,5,0.400,609.14,607.94,-0.2298,-240.00,STOP_LOSS,72,5.0
QQQ,CALL,DAY2,2026-03-10T13:37:00+00:00,2026-03-10T13:58:00+00:00,2.0848,1.6408,5,0.400,608.06,606.95,-0.2130,-222.00,STOP_LOSS,48,21.0
QQQ,CALL,DAY2,2026-03-10T14:00:00+00:00,2026-03-10T14:07:00+00:00,2.0788,2.0348,6,0.400,606.32,606.21,-0.0212,-26.40,TRAILING_STOP,48,7.0
QQQ,CALL,DAY2,2026-03-10T14:12:00+00:00,2026-03-10T14:33:00+00:00,2.0791,3.1471,6,0.400,606.39,609.06,0.5137,640.80,TAKE_PROFIT,48,21.0
QQQ,CALL,DAY2,2026-03-10T14:34:00+00:00,2026-03-10T15:00:00+00:00,2.0891,3.1571,5,0.400,609.32,611.99,0.5112,534.00,TAKE_PROFIT,72,26.0
