ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
SPY,PUT,MOMENTUM,2025-09-09T10:35:00-04:00,2025-09-09T11:05:00-04:00,1.9427,1.7397,6,0.350,647.57,648.15,-0.1045,-121.80,TIME_STOP,41,30.0
QQQ,PUT,MOMENTUM,2025-09-09T11:53:00-04:00,2025-09-09T12:23:00-04:00,1.7361,1.6591,7,0.350,578.70,578.92,-0.0444,-53.90,TIME_STOP,34,30.0
SPY,CALL,MOMENTUM,2025-09-09T13:15:00-04:00,2025-09-09T13:45:00-04:00,1.9486,2.0221,6,0.350,649.52,649.73,0.0377,44.10,TIME_STOP,32,30.0
SPY,CALL,MOMENTUM,2025-09-09T14:11:00-04:00,2025-09-09T14:41:00-04:00,1.9491,1.9946,6,0.350,649.70,649.83,0.0233,27.30,TIME_STOP,58,30.0
SPY,CALL,MOMENTUM,2025-09-09T14:42:00-04:00,2025-09-09T15:12:00-04:00,1.9493,1.9108,6,0.350,649.76,649.65,-0.0198,-23.10,TIME_STOP,35,30.0
SPY,PUT,MOMENTUM,2025-09-10T11:18:00-04:00,2025-09-10T11:48:00-04:00,1.9578,1.7233,6,0.350,652.59,653.26,-0.1198,-140.70,TIME_STOP,45,30.0
SPY,PUT,MOMENTUM,2025-09-10T12:41:00-04:00,2025-09-10T13:11:00-04:00,1.9571,1.6981,6,0.350,652.37,653.11,-0.1323,-155.40,TIME_STOP,44,30.0
QQQ,PUT,MOMENTUM,2025-09-10T13:23:00-04:00,2025-09-10T13:53:00-04:00,1.7433,1.8168,7,0.350,581.11,580.90,0.0422,51.45,TIME_STOP,40,30.0
QQQ,PUT,MOMENTUM,2025-09-10T13:54:00-04:00,2025-09-10T14:24:00-04:00,1.7434,1.9954,7,0.350,581.12,580.40,0.1445,176.40,TIME_STOP,36,30.0
SPY,PUT,MOMENTUM,2025-09-10T14:25:00-04:00,2025-09-10T14:55:00-04:00,1.9547,1.8917,6,0.350,651.58,651.76,-0.0322,-37.80,TIME_STOP,56,30.0
SPY,PUT,MOMENTUM,2025-09-10T14:57:00-04:00,2025-09-10T15:27:00-04:00,1.9561,2.3971,6,0.350,652.04,650.78,0.2254,264.60,TIME_STOP,45,30.0
SPY,CALL,MOMENTUM,2025-09-11T10:47:00-04:00,2025-09-11T11:17:00-04:00,1.9701,2.1766,6,0.350,656.69,657.28,0.1048,123.90,TIME_STOP,51,30.0
SPY,CALL,MOMENTUM,2025-09-11T11:18:00-04:00,2025-09-11T11:48:00-04:00,1.9727,1.7137,6,0.350,657.58,656.84,-0.1313,-155.40,TIME_STOP,63,30.0
