ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
QQQ,PUT,ORB_SCALP,2025-09-09T14:02:00+00:00,2025-09-09T14:09:00+00:00,1.1905,0.8340,20,0.400,578.71,579.57,-0.2995,-713.04,TIME_STOP,76,7.0
NVDA,CALL,VWAP_SCALP,2025-09-09T17:47:00+00:00,2025-09-09T17:57:00+00:00,0.6730,0.6269,20,0.400,168.25,168.16,-0.0685,-92.19,TIME_STOP,82,10.0
NVDA,CALL,VWAP_SCALP,2025-09-12T18:53:00+00:00,2025-09-12T19:03:00+00:00,0.7116,0.6489,20,0.400,177.90,177.77,-0.0881,-125.35,TIME_STOP,90,10.0
NVDA,PUT,VWAP_SCALP,2025-09-17T18:08:00+00:00,2025-09-17T18:14:00+00:00,0.6816,1.3079,20,0.400,170.40,168.82,0.9189,1252.61,TAKE_PROFIT,96,6.0
NVDA,PUT,ORB_SCALP,2025-09-26T14:29:00+00:00,2025-09-26T14:37:00+00:00,0.7024,0.5459,20,0.400,175.59,175.96,-0.2227,-312.88,TIME_STOP,90,8.0
NVDA,CALL,ORB_SCALP,2025-09-30T14:02:00+00:00,2025-09-30T14:05:00+00:00,0.7373,0.7500,20,0.400,184.33,184.37,0.0172,25.36,TRAILING_STOP,88,3.0
NVDA,CALL,ORB_SCALP,2025-09-30T14:07:00+00:00,2025-09-30T14:09:00+00:00,0.7370,0.4988,20,0.400,184.26,183.67,-0.3232,-476.48,STOP_LOSS,90,2.0
QQQ,PUT,ORB_SCALP,2025-10-03T14:02:00+00:00,2025-10-03T14:12:00+00:00,1.2447,1.1860,19,0.400,605.07,605.17,-0.0471,-111.47,TIME_STOP,82,10.0
NVDA,CALL,ORB_SCALP,2025-10-07T13:50:00+00:00,2025-10-07T13:58:00+00:00,0.7526,0.8236,20,0.400,188.16,188.36,0.0943,141.95,TRAILING_STOP,75,8.0
QQQ,CALL,ORB_SCALP,2025-10-08T14:02:00+00:00,2025-10-08T14:12:00+00:00,1.2516,1.3568,19,0.400,608.42,608.73,0.0841,199.94,TIME_STOP,81,10.0
NVDA,CALL,ORB_SCALP,2025-10-09T13:53:00+00:00,2025-10-09T13:55:00+00:00,0.7808,0.2543,20,0.400,195.19,193.88,-0.6743,-1052.95,STOP_LOSS,80,2.0
NVDA,CALL,ORB_SCALP,2025-10-10T13:59:00+00:00,2025-10-10T14:09:00+00:00,0.7764,0.8448,20,0.400,194.11,194.31,0.0880,136.72,TIME_STOP,75,10.0
NVDA,CALL,ORB_SCALP,2025-10-10T14:14:00+00:00,2025-10-10T14:24:00+00:00,0.7788,0.8272,20,0.400,194.71,194.86,0.0620,96.64,TIME_STOP,92,10.0
NVDA,PUT,VWAP_SCALP,2025-10-10T15:00:00+00:00,2025-10-10T15:04:00+00:00,0.7738,1.3775,20,0.400,193.44,191.92,0.7802,1207.43,TAKE_PROFIT,99,4.0
NVDA,CALL,ORB_SCALP,2025-10-13T14:02:00+00:00,2025-10-13T14:12:00+00:00,0.7590,0.6356,20,0.400,189.75,189.47,-0.1626,-246.78,TIME_STOP,74,10.0
NVDA,PUT,VWAP_SCALP,2025-10-14T17:54:00+00:00,2025-10-14T18:04:00+00:00,0.7279,0.8450,20,0.400,181.97,181.65,0.1609,234.20,TIME_STOP,86,10.0
