ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,CALL,MEAN_REVERSION,2025-09-15T13:19:00-04:00,2025-09-15T13:31:00-04:00,2.3752,2.3962,10,0.420,659.78,659.83,0.0088,21.00,TIME_STOP,41,12.0,22.1,0.020,23.5,-1.89
SPY,CALL,MEAN_REVERSION,2025-09-15T14:44:00-04:00,2025-09-15T14:56:00-04:00,2.3743,2.5549,10,0.420,659.54,659.97,0.0761,180.60,TIME_STOP,51,12.0,21.3,-0.052,24.5,-2.25
SPY,CALL,MEAN_REVERSION,2025-09-17T12:38:00-04:00,2025-09-17T12:50:00-04:00,2.3706,2.3832,10,0.420,658.50,658.53,0.0053,12.60,TIME_STOP,65,12.0,20.2,-0.109,19.5,-2.18
SPY,CALL,MEAN_REVERSION,2025-09-19T10:44:00-04:00,2025-09-19T10:56:00-04:00,2.3809,2.4901,10,0.420,661.35,661.61,0.0459,109.20,TIME_STOP,67,12.0,27.4,-0.091,13.0,-1.98
SPY,CALL,MEAN_REVERSION,2025-09-19T11:32:00-04:00,2025-09-19T11:44:00-04:00,2.3776,2.6464,10,0.420,660.45,661.09,0.1131,268.80,TIME_STOP,65,12.0,18.8,0.013,10.2,-2.81
SPY,CALL,MEAN_REVERSION,2025-09-23T10:35:00-04:00,2025-09-23T10:47:00-04:00,2.3986,2.3860,10,0.420,666.27,666.24,-0.0053,-12.60,TIME_STOP,76,12.0,26.2,-0.111,12.9,-3.01
SPY,CALL,MEAN_REVERSION,2025-09-23T11:41:00-04:00,2025-09-23T11:53:00-04:00,2.3964,2.4090,10,0.420,665.67,665.70,0.0053,12.60,TIME_STOP,82,12.0,20.0,-0.170,18.0,-2.96
SPY,CALL,MEAN_REVERSION,2025-09-29T11:11:00-04:00,2025-09-29T11:23:00-04:00,2.3903,2.3819,10,0.420,663.97,663.95,-0.0035,-8.40,TIME_STOP,65,12.0,24.7,-0.084,10.2,-1.91
SPY,CALL,MEAN_REVERSION,2025-09-29T15:12:00-04:00,2025-09-29T15:24:00-04:00,2.3852,2.3894,10,0.420,662.55,662.56,0.0018,4.20,TIME_STOP,47,12.0,23.2,-0.100,19.6,-1.54
SPY,CALL,MEAN_REVERSION,2025-10-07T10:29:00-04:00,2025-10-07T10:41:00-04:00,2.4166,2.3494,10,0.420,671.27,671.11,-0.0278,-67.20,TIME_STOP,51,12.0,22.5,-0.029,24.6,-2.57
SPY,CALL,MEAN_REVERSION,2025-10-10T10:59:00-04:00,2025-10-10T11:00:00-04:00,2.4090,1.5900,10,0.420,669.16,667.21,-0.3400,-819.00,STOP_LOSS,75,1.0,14.4,-0.503,10.0,-2.02
SPY,CALL,MEAN_REVERSION,2025-10-13T10:56:00-04:00,2025-10-13T11:08:00-04:00,2.3764,2.5276,10,0.420,660.12,660.48,0.0636,151.20,TIME_STOP,40,12.0,28.1,0.014,16.5,-1.55
SPY,CALL,MEAN_REVERSION,2025-10-16T11:29:00-04:00,2025-10-16T11:30:00-04:00,2.3970,2.1030,10,0.420,665.82,665.12,-0.1227,-294.00,STOP_LOSS,54,1.0,25.3,-0.165,13.8,-1.81
SPY,CALL,MEAN_REVERSION,2025-10-16T11:41:00-04:00,2025-10-16T11:46:00-04:00,2.3948,2.0672,10,0.420,665.21,664.43,-0.1368,-327.60,STOP_LOSS,49,5.0,25.4,-0.042,19.8,-2.28
SPY,CALL,MEAN_REVERSION,2025-10-16T11:49:00-04:00,2025-10-16T11:56:00-04:00,2.3925,2.1783,10,0.420,664.58,664.07,-0.0895,-214.20,BREAKEVEN_STOP,46,7.0,21.8,0.009,23.1,-2.51
SPY,CALL,MEAN_REVERSION,2025-10-22T10:29:00-04:00,2025-10-22T10:41:00-04:00,2.4099,2.2965,10,0.420,669.43,669.16,-0.0471,-113.40,TIME_STOP,66,12.0,20.3,-0.262,23.8,-2.90
SPY,CALL,MEAN_REVERSION,2025-10-28T11:35:00-04:00,2025-10-28T11:47:00-04:00,2.4664,2.5294,10,0.420,685.10,685.25,0.0255,63.00,TIME_STOP,61,12.0,22.9,-0.122,17.3,-1.94
SPY,CALL,MEAN_REVERSION,2025-10-29T10:44:00-04:00,2025-10-29T10:56:00-04:00,2.4778,2.5198,10,0.420,688.28,688.38,0.0170,42.00,TIME_STOP,56,12.0,22.5,-0.050,8.4,-2.10
SPY,CALL,MEAN_REVERSION,2025-10-29T13:26:00-04:00,2025-10-29T13:38:00-04:00,2.4762,2.5224,10,0.420,687.83,687.94,0.0187,46.20,TIME_STOP,65,12.0,20.3,-0.390,16.9,-1.92
SPY,CALL,MEAN_REVERSION,2025-10-29T14:35:00-04:00,2025-10-29T14:39:00-04:00,2.4681,1.6113,10,0.420,685.59,683.55,-0.3471,-856.80,STOP_LOSS,74,4.0,21.3,-0.472,17.6,-4.93
SPY,CALL,MEAN_REVERSION,2025-10-30T15:05:00-04:00,2025-10-30T15:17:00-04:00,2.4548,2.1944,10,0.420,681.88,681.26,-0.1061,-260.40,TIME_STOP,50,12.0,25.0,-0.052,23.1,-1.96
SPY,CALL,MEAN_REVERSION,2025-10-31T11:41:00-04:00,2025-10-31T11:46:00-04:00,2.4581,2.5589,10,0.420,682.80,683.04,0.0410,100.80,TRAILING_STOP,54,5.0,23.3,-0.214,17.4,-1.62
SPY,CALL,MEAN_REVERSION,2025-10-31T11:59:00-04:00,2025-10-31T12:09:00-04:00,2.4559,2.1451,10,0.420,682.19,681.45,-0.1266,-310.80,STOP_LOSS,54,10.0,23.4,0.006,22.4,-2.26
