ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
QQQ,CALL,REVERSION,2025-09-09T13:53:00+00:00,2025-09-09T14:23:00+00:00,2.2339,2.3644,5,0.450,579.16,579.45,0.0584,65.25,TIME_STOP,52,30.0
SPY,CALL,REVERSION,2025-09-09T14:32:00+00:00,2025-09-09T15:02:00+00:00,2.4996,2.5671,5,0.450,648.05,648.20,0.0270,33.75,TIME_STOP,56,30.0
SPY,PUT,REVERSION,2025-09-10T14:00:00+00:00,2025-09-10T14:30:00+00:00,2.5224,2.5314,4,0.450,653.96,653.94,0.0036,3.60,TIME_STOP,60,30.0
NVDA,PUT,REVERSION,2025-09-10T14:46:00+00:00,2025-09-10T15:16:00+00:00,1.3814,1.5209,9,0.450,179.07,178.76,0.1010,125.55,TIME_STOP,31,30.0
SPY,CALL,REVERSION,2025-09-10T15:22:00+00:00,2025-09-10T15:52:00+00:00,2.5168,2.9803,4,0.450,652.51,653.54,0.1842,185.40,TIME_STOP,43,30.0
TSLA,PUT,REVERSION,2025-09-11T13:53:00+00:00,2025-09-11T14:07:00+00:00,2.7111,1.9641,4,0.450,351.44,353.10,-0.2755,-298.80,STOP_LOSS,51,14.0
QQQ,PUT,REVERSION,2025-09-11T15:17:00+00:00,2025-09-11T15:47:00+00:00,2.2548,2.4618,5,0.450,584.59,584.13,0.0918,103.50,TIME_STOP,39,30.0
QQQ,PUT,REVERSION,2025-09-12T14:26:00+00:00,2025-09-12T14:56:00+00:00,2.2596,1.9356,5,0.450,585.82,586.54,-0.1434,-162.00,TIME_STOP,45,30.0
QQQ,PUT,REVERSION,2025-09-15T13:54:00+00:00,2025-09-15T14:24:00+00:00,2.2761,2.4066,5,0.450,590.11,589.82,0.0573,65.25,TIME_STOP,47,30.0
SPY,PUT,REVERSION,2025-09-15T14:30:00+00:00,2025-09-15T15:00:00+00:00,2.5486,2.4991,4,0.450,660.74,660.85,-0.0194,-19.80,TIME_STOP,39,30.0
NVDA,PUT,REVERSION,2025-09-15T15:21:00+00:00,2025-09-15T15:27:00+00:00,1.3607,1.0187,9,0.450,176.39,177.15,-0.2513,-307.80,STOP_LOSS,47,6.0
SPY,CALL,REVERSION,2025-09-17T14:05:00+00:00,2025-09-17T14:35:00+00:00,2.5436,2.4041,4,0.450,659.44,659.13,-0.0548,-55.80,TIME_STOP,55,30.0
TSLA,PUT,REVERSION,2025-09-17T15:11:00+00:00,2025-09-17T15:36:00+00:00,3.2188,2.3413,3,0.450,417.25,419.20,-0.2726,-263.25,STOP_LOSS,36,25.0
SPY,PUT,REVERSION,2025-09-18T14:14:00+00:00,2025-09-18T14:44:00+00:00,2.5597,2.6137,4,0.450,663.62,663.50,0.0211,21.60,TIME_STOP,38,30.0
QQQ,PUT,REVERSION,2025-09-19T13:53:00+00:00,2025-09-19T14:23:00+00:00,2.3071,2.5051,5,0.450,598.14,597.70,0.0858,99.00,TIME_STOP,46,30.0
SPY,CALL,REVERSION,2025-09-19T14:45:00+00:00,2025-09-19T15:15:00+00:00,2.5506,2.4291,4,0.450,661.26,660.99,-0.0476,-48.60,TIME_STOP,45,30.0
SPY,CALL,REVERSION,2025-09-19T15:26:00+00:00,2025-09-19T15:55:00+00:00,2.5487,2.8457,4,0.450,660.77,661.43,0.1165,118.80,EOD_CLOSE,34,29.0
QQQ,PUT,REVERSION,2025-09-22T14:03:00+00:00,2025-09-22T14:33:00+00:00,2.3120,2.1410,5,0.450,599.42,599.80,-0.0740,-85.50,TIME_STOP,36,30.0
NVDA,PUT,REVERSION,2025-09-22T14:45:00+00:00,2025-09-22T15:15:00+00:00,1.3579,1.5784,9,0.450,176.02,175.53,0.1624,198.45,TIME_STOP,40,30.0
NVDA,CALL,REVERSION,2025-09-23T14:00:00+00:00,2025-09-23T14:30:00+00:00,1.3826,2.0486,9,0.450,179.23,180.71,0.4817,599.40,TIME_STOP,48,30.0
SPY,CALL,REVERSION,2025-09-23T14:35:00+00:00,2025-09-23T15:05:00+00:00,2.5699,2.5969,4,0.450,666.27,666.33,0.0105,10.80,TIME_STOP,66,30.0
NVDA,CALL,REVERSION,2025-09-24T13:53:00+00:00,2025-09-24T14:23:00+00:00,1.3712,1.6862,9,0.450,177.75,178.45,0.2297,283.50,TIME_STOP,52,30.0
QQQ,CALL,REVERSION,2025-09-24T15:14:00+00:00,2025-09-24T15:44:00+00:00,2.3026,2.1541,5,0.450,596.96,596.63,-0.0645,-74.25,TIME_STOP,31,30.0
NVDA,PUT,REVERSION,2025-09-25T14:05:00+00:00,2025-09-25T14:23:00+00:00,1.3623,0.9753,9,0.450,176.60,177.46,-0.2841,-348.30,STOP_LOSS,54,18.0
NVDA,CALL,REVERSION,2025-09-26T14:06:00+00:00,2025-09-26T14:26:00+00:00,1.3591,0.9631,9,0.450,176.18,175.30,-0.2914,-356.40,STOP_LOSS,55,20.0
TSLA,CALL,REVERSION,2025-09-29T13:53:00+00:00,2025-09-29T13:55:00+00:00,3.4236,2.5011,3,0.450,443.80,441.75,-0.2695,-276.75,STOP_LOSS,65,2.0
SPY,CALL,REVERSION,2025-09-29T15:12:00+00:00,2025-09-29T15:42:00+00:00,2.5604,2.3714,4,0.450,663.80,663.38,-0.0738,-75.60,TIME_STOP,54,30.0
NVDA,PUT,REVERSION,2025-09-30T13:59:00+00:00,2025-09-30T14:03:00+00:00,1.4160,0.8085,8,0.450,183.55,184.90,-0.4290,-486.00,STOP_LOSS,40,4.0
QQQ,PUT,REVERSION,2025-09-30T14:56:00+00:00,2025-09-30T15:26:00+00:00,2.3097,2.9037,5,0.450,598.82,597.50,0.2572,297.00,TIME_STOP,36,30.0
QQQ,PUT,REVERSION,2025-10-01T14:23:00+00:00,2025-10-01T14:53:00+00:00,2.3134,2.0749,5,0.450,599.76,600.29,-0.1031,-119.25,TIME_STOP,40,30.0
QQQ,CALL,REVERSION,2025-10-03T14:02:00+00:00,2025-10-03T14:32:00+00:00,2.3338,2.4058,5,0.450,605.07,605.23,0.0309,36.00,TIME_STOP,33,30.0
SPY,PUT,REVERSION,2025-10-03T14:37:00+00:00,2025-10-03T15:07:00+00:00,2.5918,2.6008,4,0.450,671.95,671.93,0.0035,3.60,TIME_STOP,43,30.0
TSLA,CALL,REVERSION,2025-10-06T13:53:00+00:00,2025-10-06T14:03:00+00:00,3.3877,3.5722,3,0.450,439.15,439.56,0.0545,55.35,TRAILING_STOP,59,10.0
NVDA,PUT,REVERSION,2025-10-07T13:53:00+00:00,2025-10-07T14:23:00+00:00,1.4524,1.3174,8,0.450,188.27,188.57,-0.0930,-108.00,TIME_STOP,67,30.0
QQQ,CALL,REVERSION,2025-10-07T14:35:00+00:00,2025-10-07T15:04:00+00:00,2.3461,1.7206,5,0.450,608.24,606.85,-0.2666,-312.75,STOP_LOSS,57,29.0
QQQ,PUT,REVERSION,2025-10-08T14:01:00+00:00,2025-10-08T14:31:00+00:00,2.3466,2.2476,5,0.450,608.38,608.60,-0.0422,-49.50,TIME_STOP,60,30.0
SPY,CALL,REVERSION,2025-10-09T13:53:00+00:00,2025-10-09T14:23:00+00:00,2.5923,2.3223,4,0.450,672.08,671.48,-0.1042,-108.00,TIME_STOP,53,30.0
QQQ,CALL,REVERSION,2025-10-09T14:34:00+00:00,2025-10-09T15:04:00+00:00,2.3493,2.6733,5,0.450,609.07,609.79,0.1379,162.00,TIME_STOP,41,30.0
NVDA,PUT,REVERSION,2025-10-10T13:54:00+00:00,2025-10-10T14:09:00+00:00,1.4924,1.1099,8,0.450,193.46,194.31,-0.2563,-306.00,STOP_LOSS,46,15.0
SPY,CALL,REVERSION,2025-10-10T14:59:00+00:00,2025-10-10T15:00:00+00:00,2.5810,1.7035,4,0.450,669.16,667.21,-0.3400,-351.00,STOP_LOSS,47,1.0
