ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
QQQ,PUT,MOMENTUM,2025-09-09T10:35:00-04:00,2025-09-09T10:53:00-04:00,1.7327,1.4492,7,0.350,577.56,578.37,-0.1636,-198.45,STOP_LOSS,54,18.0
QQQ,PUT,MOMENTUM,2025-09-09T11:02:00-04:00,2025-09-09T11:32:00-04:00,1.7343,1.6433,7,0.350,578.10,578.36,-0.0525,-63.70,TIME_STOP,55,30.0
SPY,CALL,MOMENTUM,2025-09-09T14:11:00-04:00,2025-09-09T14:41:00-04:00,1.9491,1.9946,6,0.350,649.70,649.83,0.0233,27.30,TIME_STOP,58,30.0
QQQ,PUT,MOMENTUM,2025-09-10T12:49:00-04:00,2025-09-10T13:02:00-04:00,1.7440,1.4640,7,0.350,581.33,582.13,-0.1606,-196.00,STOP_LOSS,45,13.0
QQQ,PUT,MOMENTUM,2025-09-10T13:26:00-04:00,2025-09-10T13:56:00-04:00,1.7426,1.7216,7,0.350,580.88,580.94,-0.0121,-14.70,TIME_STOP,50,30.0
QQQ,PUT,MOMENTUM,2025-09-10T14:17:00-04:00,2025-09-10T14:33:00-04:00,1.7425,1.8020,7,0.350,580.84,580.67,0.0341,41.65,TRAILING_STOP,46,16.0
SPY,PUT,MOMENTUM,2025-09-10T14:34:00-04:00,2025-09-10T14:56:00-04:00,1.9564,2.0264,6,0.350,652.12,651.92,0.0358,42.00,TRAILING_STOP,53,22.0
SPY,CALL,MOMENTUM,2025-09-11T11:17:00-04:00,2025-09-11T11:47:00-04:00,1.9718,1.8108,6,0.350,657.28,656.82,-0.0816,-96.60,TIME_STOP,61,30.0
SPY,CALL,MOMENTUM,2025-09-11T11:49:00-04:00,2025-09-11T12:19:00-04:00,1.9703,2.2398,6,0.350,656.78,657.55,0.1368,161.70,TIME_STOP,54,30.0
SPY,CALL,MOMENTUM,2025-09-11T13:11:00-04:00,2025-09-11T13:41:00-04:00,1.9722,2.0002,6,0.350,657.39,657.47,0.0142,16.80,TIME_STOP,50,30.0
QQQ,CALL,MOMENTUM,2025-09-12T10:56:00-04:00,2025-09-12T11:26:00-04:00,1.7596,1.6861,7,0.350,586.54,586.33,-0.0418,-51.45,TIME_STOP,63,30.0
SPY,CALL,MOMENTUM,2025-09-12T12:17:00-04:00,2025-09-12T12:47:00-04:00,1.9738,1.9738,6,0.350,657.93,657.93,0.0000,0.00,TIME_STOP,45,30.0
QQQ,CALL,MOMENTUM,2025-09-12T14:32:00-04:00,2025-09-12T15:02:00-04:00,1.7612,1.9922,7,0.350,587.06,587.72,0.1312,161.70,TIME_STOP,62,30.0
QQQ,CALL,MOMENTUM,2025-09-15T11:02:00-04:00,2025-09-15T11:32:00-04:00,1.7715,1.7015,7,0.350,590.50,590.30,-0.0395,-49.00,TIME_STOP,56,30.0
QQQ,CALL,MOMENTUM,2025-09-15T11:41:00-04:00,2025-09-15T12:11:00-04:00,1.7722,1.8632,7,0.350,590.74,591.00,0.0513,63.70,TIME_STOP,50,30.0
QQQ,CALL,MOMENTUM,2025-09-15T13:32:00-04:00,2025-09-15T14:02:00-04:00,1.7713,1.9463,7,0.350,590.42,590.92,0.0988,122.50,TIME_STOP,53,30.0
QQQ,CALL,MOMENTUM,2025-09-15T14:03:00-04:00,2025-09-15T14:33:00-04:00,1.7730,1.7205,7,0.350,591.01,590.86,-0.0296,-36.75,TIME_STOP,53,30.0
QQQ,CALL,MOMENTUM,2025-09-15T14:41:00-04:00,2025-09-15T15:11:00-04:00,1.7712,1.8972,7,0.350,590.41,590.77,0.0711,88.20,TIME_STOP,50,30.0
QQQ,PUT,MOMENTUM,2025-09-16T11:02:00-04:00,2025-09-16T11:32:00-04:00,1.7726,1.7551,7,0.350,590.85,590.90,-0.0099,-12.25,TIME_STOP,53,30.0
SPY,PUT,MOMENTUM,2025-09-16T11:38:00-04:00,2025-09-16T12:08:00-04:00,1.9787,1.9122,6,0.350,659.56,659.75,-0.0336,-39.90,TIME_STOP,54,30.0
QQQ,PUT,MOMENTUM,2025-09-17T11:44:00-04:00,2025-09-17T12:14:00-04:00,1.7656,1.9056,7,0.350,588.54,588.14,0.0793,98.00,TIME_STOP,58,30.0
QQQ,PUT,MOMENTUM,2025-09-17T12:20:00-04:00,2025-09-17T12:50:00-04:00,1.7648,1.8558,7,0.350,588.27,588.01,0.0516,63.70,TIME_STOP,55,30.0
SPY,PUT,MOMENTUM,2025-09-17T12:51:00-04:00,2025-09-17T13:21:00-04:00,1.9756,2.0141,6,0.350,658.53,658.42,0.0195,23.10,TIME_STOP,69,30.0
SPY,PUT,MOMENTUM,2025-09-17T13:32:00-04:00,2025-09-17T14:00:00-04:00,1.9765,1.4690,6,0.350,658.84,660.29,-0.2568,-304.50,STOP_LOSS,55,28.0
SPY,CALL,MOMENTUM,2025-09-17T14:02:00-04:00,2025-09-17T14:06:00-04:00,1.9827,1.8917,6,0.350,660.91,660.65,-0.0459,-54.60,TRAILING_STOP,49,4.0
SPY,CALL,MOMENTUM,2025-09-17T14:08:00-04:00,2025-09-17T14:10:00-04:00,1.9826,1.5801,6,0.350,660.88,659.73,-0.2030,-241.50,STOP_LOSS,56,2.0
QQQ,CALL,MOMENTUM,2025-09-18T13:53:00-04:00,2025-09-18T14:23:00-04:00,1.7894,1.7159,6,0.350,596.48,596.27,-0.0411,-44.10,TIME_STOP,53,30.0
QQQ,CALL,MOMENTUM,2025-09-19T12:23:00-04:00,2025-09-19T12:53:00-04:00,1.7953,1.8478,6,0.350,598.42,598.57,0.0292,31.50,TIME_STOP,48,30.0
QQQ,CALL,MOMENTUM,2025-09-19T13:23:00-04:00,2025-09-19T13:53:00-04:00,1.7945,1.8960,6,0.350,598.18,598.47,0.0566,60.90,TIME_STOP,46,30.0
SPY,CALL,MOMENTUM,2025-09-22T10:29:00-04:00,2025-09-22T10:59:00-04:00,1.9922,2.3212,6,0.350,664.08,665.02,0.1651,197.40,TIME_STOP,64,30.0
