ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,CALL,MEAN_REVERSION,2025-09-15T13:14:00-04:00,2025-09-15T13:24:00-04:00,2.5458,2.5008,10,0.450,660.01,659.91,-0.0177,-45.00,TIME_STOP,43,10.0,25.3,-0.021,22.0,-1.22
SPY,CALL,MEAN_REVERSION,2025-09-15T14:41:00-04:00,2025-09-15T14:51:00-04:00,2.5448,2.6483,10,0.450,659.77,660.00,0.0407,103.50,TIME_STOP,37,10.0,29.0,0.004,22.5,-1.70
SPY,CALL,MEAN_REVERSION,2025-09-17T11:29:00-04:00,2025-09-17T11:39:00-04:00,2.5416,2.5506,10,0.450,658.94,658.96,0.0035,9.00,TIME_STOP,49,10.0,31.1,-0.087,26.3,-1.73
SPY,CALL,MEAN_REVERSION,2025-09-17T12:35:00-04:00,2025-09-17T12:45:00-04:00,2.5406,2.3921,10,0.450,658.68,658.35,-0.0585,-148.50,TIME_STOP,50,10.0,27.5,-0.044,18.0,-1.85
SPY,CALL,MEAN_REVERSION,2025-09-17T12:47:00-04:00,2025-09-17T12:57:00-04:00,2.5386,2.6016,10,0.450,658.16,658.30,0.0248,63.00,TIME_STOP,67,10.0,25.1,-0.167,25.9,-2.50
SPY,CALL,MEAN_REVERSION,2025-09-17T14:44:00-04:00,2025-09-17T14:45:00-04:00,2.5331,2.0471,10,0.450,656.74,655.66,-0.1919,-486.00,STOP_LOSS,42,1.0,30.4,-0.027,22.9,-2.32
SPY,CALL,MEAN_REVERSION,2025-09-17T14:47:00-04:00,2025-09-17T14:50:00-04:00,2.5323,2.4288,10,0.450,656.52,656.29,-0.0409,-103.50,BREAKEVEN_STOP,36,3.0,29.0,0.001,24.2,-2.13
SPY,CALL,MEAN_REVERSION,2025-09-17T14:52:00-04:00,2025-09-17T14:53:00-04:00,2.5272,2.2302,10,0.450,655.19,654.53,-0.1175,-297.00,STOP_LOSS,42,1.0,27.4,0.024,24.5,-2.83
SPY,CALL,MEAN_REVERSION,2025-09-19T10:41:00-04:00,2025-09-19T10:51:00-04:00,2.5515,2.4390,10,0.450,661.49,661.24,-0.0441,-112.50,TIME_STOP,62,10.0,30.9,-0.091,12.9,-1.55
SPY,CALL,MEAN_REVERSION,2025-09-19T11:11:00-04:00,2025-09-19T11:21:00-04:00,2.5495,2.5180,10,0.450,660.97,660.90,-0.0124,-31.50,TIME_STOP,60,10.0,28.0,0.016,11.0,-2.38
SPY,CALL,MEAN_REVERSION,2025-09-19T11:32:00-04:00,2025-09-19T11:42:00-04:00,2.5475,2.8714,10,0.450,660.45,661.17,0.1272,324.00,TIME_STOP,80,10.0,18.8,-0.041,10.2,-2.81
SPY,CALL,MEAN_REVERSION,2025-09-23T10:32:00-04:00,2025-09-23T10:42:00-04:00,2.5709,2.5259,10,0.450,666.52,666.42,-0.0175,-45.00,TIME_STOP,51,10.0,34.9,-0.010,11.1,-2.03
SPY,CALL,MEAN_REVERSION,2025-09-23T11:35:00-04:00,2025-09-23T11:45:00-04:00,2.5689,2.4969,10,0.450,666.00,665.84,-0.0280,-72.00,TIME_STOP,51,10.0,31.9,0.010,15.1,-2.21
SPY,CALL,MEAN_REVERSION,2025-09-23T11:53:00-04:00,2025-09-23T12:03:00-04:00,2.5677,2.4732,10,0.450,665.70,665.49,-0.0368,-94.50,TIME_STOP,42,10.0,30.2,0.038,24.1,-2.35
SPY,CALL,MEAN_REVERSION,2025-09-23T13:02:00-04:00,2025-09-23T13:12:00-04:00,2.5647,2.5827,10,0.450,664.92,664.96,0.0070,18.00,TIME_STOP,57,10.0,29.5,-0.059,27.3,-2.00
SPY,CALL,MEAN_REVERSION,2025-09-24T14:11:00-04:00,2025-09-24T14:21:00-04:00,2.5461,2.6271,10,0.450,660.09,660.27,0.0318,81.00,TIME_STOP,40,10.0,22.6,-0.006,20.0,-1.38
SPY,CALL,MEAN_REVERSION,2025-09-26T10:32:00-04:00,2025-09-26T10:39:00-04:00,2.5395,3.0165,10,0.450,658.38,659.44,0.1878,477.00,TAKE_PROFIT,45,7.0,28.1,0.032,21.6,-1.79
SPY,CALL,MEAN_REVERSION,2025-09-29T11:11:00-04:00,2025-09-29T11:17:00-04:00,2.5610,2.2775,10,0.450,663.97,663.34,-0.1107,-283.50,STOP_LOSS,75,6.0,24.7,-0.149,10.2,-1.91
SPY,CALL,MEAN_REVERSION,2025-09-29T11:19:00-04:00,2025-09-29T11:29:00-04:00,2.5597,2.5192,10,0.450,663.62,663.53,-0.0158,-40.50,TIME_STOP,77,10.0,14.8,-0.253,14.5,-2.09
SPY,CALL,MEAN_REVERSION,2025-09-29T11:32:00-04:00,2025-09-29T11:42:00-04:00,2.5585,2.5900,10,0.450,663.31,663.38,0.0123,31.50,TIME_STOP,38,10.0,29.3,0.044,20.6,-2.39
SPY,CALL,MEAN_REVERSION,2025-09-29T12:53:00-04:00,2025-09-29T13:03:00-04:00,2.5570,2.3815,10,0.450,662.92,662.53,-0.0686,-175.50,TIME_STOP,36,10.0,31.8,0.034,22.3,-1.93
