ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,PUT,MEAN_REVERSION,2025-09-15T10:29:00-04:00,2025-09-15T10:44:00-04:00,2.3784,2.3238,10,0.420,660.68,660.81,-0.0230,-54.60,TIME_STOP,45,15.0,71.5,0.963,16.5,1.99
SPY,PUT,MEAN_REVERSION,2025-09-15T10:47:00-04:00,2025-09-15T11:02:00-04:00,2.3792,2.4002,10,0.420,660.89,660.84,0.0088,21.00,TIME_STOP,41,15.0,71.2,0.971,19.7,2.03
SPY,CALL,MEAN_REVERSION,2025-09-15T13:19:00-04:00,2025-09-15T13:34:00-04:00,2.3752,2.4802,10,0.420,659.78,660.03,0.0442,105.00,TIME_STOP,41,15.0,22.1,0.020,23.5,-1.89
SPY,CALL,MEAN_REVERSION,2025-09-15T14:44:00-04:00,2025-09-15T14:59:00-04:00,2.3743,2.5675,10,0.420,659.54,660.00,0.0814,193.20,TIME_STOP,51,15.0,21.3,-0.052,24.5,-2.25
SPY,CALL,MEAN_REVERSION,2025-09-17T12:38:00-04:00,2025-09-17T12:53:00-04:00,2.3706,2.3328,10,0.420,658.50,658.41,-0.0159,-37.80,TIME_STOP,65,15.0,20.2,-0.109,19.5,-2.18
SPY,PUT,MEAN_REVERSION,2025-09-17T14:00:00-04:00,2025-09-17T14:03:00-04:00,2.3770,1.9402,10,0.420,660.29,661.33,-0.1838,-436.80,STOP_LOSS,58,3.0,83.5,1.269,19.9,1.51
SPY,CALL,MEAN_REVERSION,2025-09-19T10:44:00-04:00,2025-09-19T10:59:00-04:00,2.3809,2.4817,10,0.420,661.35,661.59,0.0423,100.80,TIME_STOP,67,15.0,27.4,-0.091,13.0,-1.98
SPY,CALL,MEAN_REVERSION,2025-09-19T11:32:00-04:00,2025-09-19T11:47:00-04:00,2.3776,2.6548,10,0.420,660.45,661.11,0.1166,277.20,TIME_STOP,65,15.0,18.8,0.013,10.2,-2.81
SPY,PUT,MEAN_REVERSION,2025-09-19T14:59:00-04:00,2025-09-19T15:14:00-04:00,2.3871,2.2653,10,0.420,663.09,663.38,-0.0510,-121.80,TIME_STOP,54,15.0,74.3,1.259,16.0,1.86
SPY,CALL,MEAN_REVERSION,2025-09-23T10:35:00-04:00,2025-09-23T10:50:00-04:00,2.3986,2.4532,10,0.420,666.27,666.40,0.0228,54.60,TIME_STOP,76,15.0,26.2,-0.111,12.9,-3.01
