ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
SPY,PUT,DAY2,2025-10-13T13:31:00+00:00,2025-10-13T13:37:00+00:00,2.2677,2.5637,5,0.400,661.41,660.67,0.1305,148.00,TRAILING_STOP,64,6.0
SPY,PUT,DAY2,2025-10-13T13:42:00+00:00,2025-10-13T13:57:00+00:00,2.2659,1.6339,5,0.400,660.89,662.47,-0.2789,-316.00,STOP_LOSS,64,15.0
SPY,PUT,DAY2,2025-10-13T14:07:00+00:00,2025-10-13T14:25:00+00:00,2.2713,3.1353,5,0.400,662.46,660.30,0.3804,432.00,TAKE_PROFIT,64,18.0
SPY,PUT,DAY2,2025-10-13T14:30:00+00:00,2025-10-13T14:36:00+00:00,2.2646,1.6886,5,0.400,660.50,661.94,-0.2544,-288.00,STOP_LOSS,78,6.0
SPY,PUT,DAY2,2025-10-13T14:46:00+00:00,2025-10-13T15:06:00+00:00,2.2666,2.6466,5,0.400,661.08,660.13,0.1677,190.00,TIME_STOP,78,20.0
SPY,PUT,DAY2,2025-10-13T15:11:00+00:00,2025-10-13T15:21:00+00:00,2.2668,1.6348,5,0.400,661.15,662.73,-0.2788,-316.00,STOP_LOSS,78,10.0
NVDA,CALL,DAY2,2025-10-29T13:31:00+00:00,2025-10-29T13:34:00+00:00,1.4354,2.0234,4,0.400,209.33,210.80,0.4096,235.20,TAKE_PROFIT,72,3.0
NVDA,CALL,DAY2,2025-10-29T13:39:00+00:00,2025-10-29T13:46:00+00:00,1.4403,1.6083,4,0.400,210.04,210.46,0.1166,67.20,TRAILING_STOP,72,7.0
NVDA,CALL,DAY2,2025-10-29T13:51:00+00:00,2025-10-29T13:59:00+00:00,1.4423,2.1023,4,0.400,210.33,211.98,0.4576,264.00,TAKE_PROFIT,72,8.0
NVDA,CALL,DAY2,2025-10-29T14:04:00+00:00,2025-10-29T14:11:00+00:00,1.4433,0.9753,4,0.400,210.48,209.31,-0.3243,-187.20,STOP_LOSS,72,7.0
NVDA,CALL,DAY2,2025-10-29T14:21:00+00:00,2025-10-29T14:33:00+00:00,1.4415,1.9295,4,0.400,210.22,211.44,0.3385,195.20,TAKE_PROFIT,57,12.0
